G05.365.073	D000940	Antigenic Variation
G05.365.331	D018740	Genetic Heterogeneity
G05.365.590	D009154	Mutation
G05.365.590.029	D022981	Allelic Imbalance
G05.365.590.029.530	D019656	Loss of Heterozygosity
G05.365.590.029.530.175	D002872	Chromosome Deletion
G05.365.590.029.530.587	D057895	Haploinsufficiency
G05.365.590.060	D020137	Base Pair Mismatch
G05.365.590.175	D002869	Chromosome Aberrations
G05.365.590.175.024	D059786	Abnormal Karyotype
G05.365.590.175.024.500	D014997	XYY Karyotype
G05.365.590.175.050	D000782	Aneuploidy
G05.365.590.175.050.500	D009006	Monosomy
G05.365.590.175.050.500.500	D002872	Chromosome Deletion
G05.365.590.175.050.625	D058670	Tetrasomy
G05.365.590.175.050.750	D014314	Trisomy
G05.365.590.175.125	D046528	Chimerism
G05.365.590.175.165	D043171	Chromosomal Instability
G05.365.590.175.165.180	D002873	Chromosome Fragility
G05.365.590.175.175	D019457	Chromosome Breakage
G05.365.590.175.183	D058674	Chromosome Duplication
G05.365.590.175.183.249	D058670	Tetrasomy
G05.365.590.175.183.500	D014314	Trisomy
G05.365.590.175.190	D007446	Chromosome Inversion
G05.365.590.175.310	D000072837	Chromothripsis
G05.365.590.175.430	D018404	Isochromosomes
G05.365.590.175.570	D048629	Micronuclei, Chromosome-Defective
G05.365.590.175.595	D009030	Mosaicism
G05.365.590.175.677	D011123	Polyploidy
G05.365.590.175.677.249	D057891	Tetraploidy
G05.365.590.175.677.500	D057885	Triploidy
G05.365.590.175.760	D012303	Ring Chromosomes
G05.365.590.175.815	D012729	Sex Chromosome Aberrations
G05.365.590.175.815.970	D014997	XYY Karyotype
G05.365.590.175.870	D014178	Translocation, Genetic
G05.365.590.175.870.680	D010677	Philadelphia Chromosome
G05.365.590.175.935	D024182	Uniparental Disomy
G05.365.590.195	D018389	Codon, Nonsense
G05.365.590.220	D042622	DNA Repeat Expansion
G05.365.590.220.865	D019680	Trinucleotide Repeat Expansion
G05.365.590.265	D016368	Frameshift Mutation
G05.365.590.310	D005784	Gene Amplification
G05.365.590.320	D020440	Gene Duplication
G05.365.590.335	D042822	Genomic Instability
G05.365.590.335.590	D053842	Microsatellite Instability
G05.365.590.350	D018095	Germ-Line Mutation
G05.365.590.500	D054643	INDEL Mutation
G05.365.590.575	D016254	Mutagenesis, Insertional
G05.365.590.594	D000067552	Mutation Accumulation
G05.365.590.612	D059645	Mutation Rate
G05.365.590.650	D020125	Mutation, Missense
G05.365.590.675	D017354	Point Mutation
G05.365.590.762	D017384	Sequence Deletion
G05.365.590.762.180	D002872	Chromosome Deletion
G05.365.590.762.320	D017353	Gene Deletion
G05.365.590.770	D057345	Sequence Inversion
G05.365.590.770.500	D007446	Chromosome Inversion
G05.365.590.803	D000069456	Silent Mutation
G05.365.590.835	D013489	Suppression, Genetic
G05.365.590.917	D000072020	Synthetic Lethal Mutations
G05.365.795	D011110	Polymorphism, Genetic
G05.365.795.297	D056914	Genomic Structural Variation
G05.365.795.297.500	D056915	DNA Copy Number Variations
G05.365.795.446	D000071184	Pharmacogenomic Variants
G05.365.795.595	D012150	Polymorphism, Restriction Fragment Length
G05.365.795.598	D020641	Polymorphism, Single Nucleotide
G05.365.795.600	D018807	Polymorphism, Single-Stranded Conformational
G05.370	D042822	Genomic Instability
G05.370.180	D043171	Chromosomal Instability
G05.370.180.180	D002873	Chromosome Fragility
G05.370.590	D053842	Microsatellite Instability
G05.380	D005838	Genotype
G05.380.350	D018628	Gene Dosage
G05.380.350.500	D057895	Haploinsufficiency
G05.380.355	D020022	Genetic Predisposition to Disease
G05.380.360	D006239	Haplotypes
G05.380.371	D057898	Hemizygote
G05.380.383	D006579	Heterozygote
G05.380.554	D006720	Homozygote
G05.390	D040941	Heredity
G05.400	D006823	Hybrid Vigor
G05.410	D000071422	Inbreeding Depression
